#Chr 	 Coordinate 	 Replication Timing
1	900000	1
1	1100000	1
1	1300000	1
1	1500000	1
1	1700000	1
1	1900000	1
1	2100000	1
1	2300000	1
1	2500000	0.98989899
1	2700000	0.976911977
1	2900000	0.966558442
1	3100000	1
1	3300000	1
1	3500000	1
1	3700000	1
1	3900000	0.975649351
1	4100000	0.018181818
1	4300000	0.018181818
1	4500000	0.009090909
1	4700000	0.009090909
1	4900000	0.009090909
1	5100000	0.009090909
1	5300000	0.009090909
1	5500000	0.019191919
1	5700000	0.204617605
1	5900000	0.346031746
1	6100000	0.391197691
1	6300000	0.561904762
1	6500000	0.645743146
1	6700000	0.645743146
1	6900000	0.693362193
1	7100000	0.693362193
1	7300000	0.676948052
1	7500000	0.624422799
1	7700000	0.704329004
1	7900000	0.978535354
1	8100000	0.978535354
1	8300000	0.963383838
1	8500000	0.978535354
1	8700000	0.965656566
1	8900000	0.955555556
1	9100000	0.955555556
1	9300000	0.955555556
1	9500000	0.955555556
1	9700000	0.955555556
1	9900000	0.964646465
1	10100000	0.97979798
1	10300000	0.97979798
1	10500000	0.843181818
1	10700000	0.834090909
1	10900000	0.815909091
1	11100000	0.834090909
1	11300000	0.834090909
1	11500000	0.834090909
1	11700000	0.834090909
1	11900000	0.834090909
1	12100000	0.843181818
1	12300000	0.897727273
1	12500000	0.954545455
1	12700000	0.943181818
1	12900000	0.5
1	13100000	0.5
1	13300000	0.121176046
1	13500000	0.102994228
1	13700000	0.090007215
1	13900000	0.118145743
1	14100000	0.193145743
1	14300000	0.232539683
1	14500000	0.153751804
1	14700000	0.144660895
1	14900000	0.144660895
1	15100000	0.572150072
1	15300000	0.810750361
1	15500000	0.880555556
1	15700000	0.889646465
1	15900000	0.889646465
1	16100000	0.889646465
1	16300000	0.889646465
1	16500000	0.889646465
1	16700000	0.889646465
1	16900000	0.876659452
1	17100000	0.876659452
1	17300000	0.848520924
1	17500000	0.793975469
1	17700000	0.782611833
1	17900000	0.716702742
1	18100000	0.350937951
1	18300000	0.276334776
1	18500000	0.432287157
1	18700000	0.56468254
1	18900000	0.901154401
1	19100000	0.954545455
1	19300000	0.954545455
1	19500000	0.954545455
1	19700000	0.954545455
1	19900000	0.984848485
1	20100000	0.956709957
1	20300000	0.987012987
1	20500000	0.987012987
1	20700000	0.987012987
1	20900000	1
1	21100000	1
1	21300000	1
1	21500000	1
1	21700000	1
1	21900000	1
1	22100000	0.987012987
1	22300000	0.987012987
1	22500000	0.987012987
1	22700000	0.987012987
1	22900000	1
1	23100000	1
1	23300000	1
1	23500000	1
1	23700000	1
1	23900000	1
1	24100000	1
1	24300000	1
1	24500000	1
1	24700000	1
1	24900000	0.98989899
1	25100000	0.923989899
1	25300000	0.923989899
1	25500000	0.923989899
1	25700000	0.923989899
1	25900000	0.990909091
1	26100000	1
1	26300000	1
1	26500000	1
1	26700000	1
1	26900000	1
1	27100000	1
1	27300000	1
1	27500000	1
1	27700000	1
1	27900000	1
1	28100000	1
1	28300000	1
1	28500000	1
1	28700000	1
1	28900000	0.984848485
1	29100000	0.984848485
1	29300000	0.911363636
1	29500000	0.771861472
1	29700000	0.628318903
1	29900000	0.202741703
1	30100000	0.164357864
1	30300000	0.249314574
1	30500000	0.439790765
1	30700000	0.69040404
1	30900000	0.904545455
1	31100000	0.979545455
1	31300000	0.979545455
1	31500000	0.988636364
1	31700000	0.988636364
1	31900000	0.988636364
1	32100000	0.988636364
1	32300000	0.988636364
1	32500000	0.988636364
1	32700000	0.988636364
1	32900000	0.988636364
1	33100000	0.988636364
1	33300000	0.988636364
1	33500000	0.861111111
1	33700000	0.512806638
1	33900000	0.237734488
1	34100000	0.126370851
1	34300000	0.108189033
1	34500000	0.358189033
1	34700000	0.545887446
1	34900000	0.726803752
1	35100000	0.791955267
1	35300000	0.824134199
1	35500000	0.835497835
1	35700000	0.987012987
1	35900000	0.987012987
1	36100000	0.975649351
1	36300000	0.975649351
1	36500000	0.942821068
1	36700000	0.761904762
1	36900000	0.548520924
1	37100000	0.680699856
1	37300000	0.811507937
1	37500000	0.852417027
1	37700000	0.852417027
1	37900000	0.852417027
1	38100000	0.852417027
1	38300000	0.853427128
1	38500000	0.851911977
1	38700000	0.917063492
1	38900000	0.984848485
1	39100000	1
1	39300000	1
1	39500000	1
1	39700000	1
1	39900000	1
1	40100000	1
1	40300000	1
1	40500000	0.987012987
1	40700000	0.987012987
1	40900000	0.987012987
1	41100000	0.987012987
1	41300000	0.987012987
1	41500000	0.946103896
1	41700000	0.946103896
1	41900000	0.946103896
1	42100000	0.946103896
1	42300000	0.946103896
1	42500000	0.968831169
1	42700000	0.981818182
1	42900000	0.981818182
1	43100000	0.981818182
1	43300000	0.981818182
1	43500000	0.981818182
1	43700000	0.981818182
1	43900000	1
1	44100000	1
1	44300000	1
1	44500000	1
1	44700000	1
1	44900000	1
1	45100000	1
1	45300000	1
1	45500000	1
1	45700000	1
1	45900000	1
1	46100000	0.973484848
1	46300000	0.973484848
1	46500000	0.962121212
1	46700000	0.949134199
1	46900000	0.918831169
1	47100000	0.880194805
1	47300000	0.752922078
1	47500000	0.487445887
1	47700000	0.223593074
1	47900000	0
1	48100000	0
1	48300000	0
1	48500000	0
1	48700000	0
1	48900000	0
1	49100000	0
1	49300000	0
1	49500000	0
1	49700000	0
1	49900000	0
1	50100000	0.055555556
1	50300000	0.14011544
1	50500000	0.241125541
1	50700000	0.353102453
1	50900000	0.883080808
1	51100000	0.943181818
1	51300000	1
1	51500000	1
1	51700000	1
1	51900000	1
1	52100000	1
1	52300000	1
1	52500000	1
1	52700000	1
1	52900000	1
1	53100000	0.945454545
1	53300000	0.915909091
1	53500000	0.915909091
1	53700000	0.915909091
1	53900000	0.979545455
1	54100000	0.923989899
1	54300000	0.896717172
1	54500000	0.896717172
1	54700000	0.896717172
1	54900000	0.905808081
1	55100000	0.951262626
1	55300000	0.960353535
1	55500000	0.917063492
1	55700000	0.706854257
1	55900000	0.60952381
1	56100000	0.537950938
1	56300000	0.527849928
1	56500000	0.547041847
1	56700000	0.500577201
1	56900000	0.351370851
1	57100000	0.157828283
1	57300000	0.170815296
1	57500000	0.180916306
1	57700000	0.157828283
1	57900000	0.147727273
1	58100000	0.198484848
1	58300000	0.476587302
1	58500000	0.806709957
1	58700000	0.990909091
1	58900000	1
1	59100000	0.954545455
1	59300000	0.762518038
1	59500000	0.703823954
1	59700000	0.635894661
1	59900000	0.469408369
1	60100000	0.426479076
1	60300000	0.389141414
1	60500000	0.369949495
1	60700000	0.310209235
1	60900000	0.310209235
1	61100000	0.345923521
1	61300000	0.31475469
1	61500000	0.418650794
1	61700000	0.440007215
1	61900000	0.315656566
1	62100000	0.315656566
1	62300000	0.379004329
1	62500000	0.540728716
1	62700000	0.707900433
1	62900000	0.597294372
1	63100000	0.546536797
1	63300000	0.6004329
1	63500000	0.78538961
1	63700000	0.890800866
1	63900000	0.979545455
1	64100000	0.917316017
1	64300000	0.917316017
