#Chr 	 Coordinate 	 H3K4me3
1	25000	1.416853088
1	75000	0.298441644
1	125000	0.371559797
1	175000	0.929387845
1	225000	0.746363241
1	275000	0.223831198
1	325000	0.041160765
1	375000	0.325638963
1	425000	0.240556018
1	475000	0.32287755
1	525000	0.263533101
1	575000	0.167769214
1	625000	5.082524359
1	675000	0.237429884
1	725000	0.244212559
1	775000	1.759415516
1	825000	2.635927711
1	875000	0.472098352
1	925000	1.684033069
1	975000	2.521750496
1	1025000	2.981416051
1	1075000	2.164989421
1	1125000	1.59400069
1	1175000	0.241650176
1	1225000	1.218172359
1	1275000	2.279043596
1	1325000	5.442644548
1	1375000	4.277541299
1	1425000	2.937456126
1	1475000	2.472758878
1	1525000	1.755742917
1	1575000	1.992336472
1	1625000	1.977982445
1	1675000	2.233311851
1	1725000	2.630494569
1	1775000	1.90616001
1	1825000	0.199378576
1	1875000	2.058921139
1	1925000	0.905820793
1	1975000	0.149220799
1	2025000	0.260390312
1	2075000	0.172354194
1	2125000	0.512165032
1	2175000	1.44217396
1	2225000	4.822521947
1	2275000	0.468555576
1	2325000	0.373051999
1	2375000	1.761769825
1	2425000	1.146546293
1	2475000	0.568018696
1	2525000	2.740870652
1	2575000	2.9489105
1	2625000	0.860755455
1	2675000	0.375531021
1	2725000	0.038428523
1	2775000	0.122271436
1	2825000	0.274735081
1	2875000	0.120199854
1	2925000	0.112436621
1	2975000	0.223310179
1	3025000	0.307246898
1	3075000	3.720971114
1	3125000	0.147918244
1	3175000	0.224387689
1	3225000	0.188107826
1	3275000	0.117594746
1	3325000	0.513519713
1	3375000	0.21441945
1	3425000	0.174064189
1	3475000	0.321828255
1	3525000	1.316346959
1	3575000	0.450840688
1	3625000	2.314429319
1	3675000	0.833315088
1	3725000	0.364298845
1	3775000	1.883184416
1	3825000	1.193507597
1	3875000	1.827053526
1	3925000	1.142030065
1	3975000	0.013598683
1	4025000	0.182462024
1	4075000	0.255092538
1	4125000	0.190589973
1	4175000	0.172354191
1	4225000	0.125514282
1	4275000	0.325065839
1	4325000	0.27239048
1	4375000	0.189443726
1	4425000	0.034387475
1	4475000	0.0373052
1	4525000	0.212160304
1	4575000	0.441289268
1	4625000	0.263637305
1	4675000	0.089407434
1	4725000	0.335746797
1	4775000	0.0373052
1	4825000	0.237221475
1	4875000	0.162819482
1	4925000	0.318605167
1	4975000	0.230865023
1	5025000	0.132339675
1	5075000	0.305214905
1	5125000	0.125514282
1	5175000	0.349345481
1	5225000	0.125514282
1	5275000	0.223987505
1	5325000	0.176418194
1	5375000	0.199968375
1	5425000	0.088209082
1	5475000	0.159172325
1	5525000	0.223831201
1	5575000	0.254675721
1	5625000	0.143073777
