#Chr 	 Coordinate 	 H3K4me27
1	25000	0.88
1	75000	0.70
1	125000	0.47
1	175000	0.89
1	225000	0.35
1	275000	0.85
1	325000	0.11
1	375000	0.65
1	425000	0.48
1	475000	0.92
1	525000	0.45
1	575000	0.13
1	625000	3.51
1	675000	0.58
1	725000	0.68
1	775000	1.20
1	825000	1.08
1	875000	0.39
1	925000	0.59
1	975000	0.30
1	1025000	1.23
1	1075000	1.14
1	1125000	0.44
1	1175000	0.23
1	1225000	0.79
1	1275000	1.48
1	1325000	1.39
1	1375000	1.66
1	1425000	0.56
1	1475000	0.89
1	1525000	0.74
1	1575000	0.89
1	1625000	0.59
1	1675000	1.08
1	1725000	0.92
1	1775000	1.09
1	1825000	1.64
1	1875000	1.63
1	1925000	0.33
1	1975000	0.30
1	2025000	0.37
1	2075000	0.45
1	2125000	0.45
1	2175000	0.82
1	2225000	2.06
1	2275000	0.85
1	2325000	0.89
1	2375000	1.03
1	2425000	1.08
1	2475000	0.53
1	2525000	0.92
1	2575000	1.21
1	2625000	0.39
1	2675000	0.58
1	2725000	0.08
1	2775000	0.29
1	2825000	0.15
1	2875000	0.12
1	2925000	0.27
1	2975000	0.30
1	3025000	0.37
1	3075000	2.29
1	3125000	0.61
1	3175000	0.84
1	3225000	0.86
1	3275000	0.88
1	3325000	2.02
1	3375000	1.19
1	3425000	0.57
1	3475000	0.72
1	3525000	2.14
1	3575000	0.74
1	3625000	0.93
1	3675000	0.77
1	3725000	0.60
1	3775000	0.48
1	3825000	1.09
1	3875000	1.22
1	3925000	0.65
1	3975000	0.15
1	4025000	0.04
1	4075000	0.12
1	4125000	0.16
1	4175000	0.08
1	4225000	0.12
1	4275000	0.16
1	4325000	0.20
1	4375000	0.07
1	4425000	0.22
1	4475000	0.04
1	4525000	0.12
1	4575000	0.09
1	4625000	0.12
1	4675000	0.01
1	4725000	0.21
1	4775000	0.15
1	4825000	0.08
1	4875000	0.11
1	4925000	0.06
1	4975000	0.03
1	5025000	0.13
1	5075000	0.32
1	5125000	0.22
1	5175000	0.28
1	5225000	0.08
1	5275000	0.03
1	5325000	0.13
1	5375000	0.08
1	5425000	0.20
1	5475000	0.16
1	5525000	0.08
1	5575000	0.08
1	5625000	0.21
